Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Kevin Porter Jr.,59,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.8983050847457628,0.8135593220338984,0.7288135593220338,0.5423728813559322,0.4067796610169492,0.3728813559322034,0.2542372881355932,0.2542372881355932,0.288135593220339,0.3898305084745763,0.4406779661016949,0.5932203389830508,0.7288135593220338,0.7457627118644068,0.8135593220338984,0.864406779661017,0.8813559322033898,0.8983050847457628,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.847457627118644,0.7796610169491526,0.6779661016949152,0.6101694915254238,0.559322033898305,0.5423728813559322,0.288135593220339,0.2711864406779661,0.3728813559322034,0.4745762711864407,0.6101694915254238,0.6949152542372882,0.7627118644067796,0.7457627118644068,0.6610169491525424,0.6440677966101694,0.6101694915254238,0.576271186440678
Jalen Green,76,2602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,0.9342105263157895,0.8157894736842105,0.47368421052631576,0.25,0.13157894736842105,0.13157894736842105,0.14473684210526316,0.15789473684210525,0.3026315789473684,0.47368421052631576,0.7894736842105263,0.8552631578947368,0.9078947368421053,0.9605263157894737,0.9736842105263158,0.9605263157894737,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9605263157894737,0.9473684210526315,0.8947368421052632,0.75,0.631578947368421,0.4868421052631579,0.21052631578947367,0.2236842105263158,0.17105263157894737,0.23684210526315788,0.35526315789473684,0.5394736842105263,0.7631578947368421,0.8157894736842105,0.7236842105263158,0.6710526315789473,0.5789473684210527,0.5526315789473685
Kenyon Martin Jr.,82,2292,0.5975609756097561,0.5975609756097561,0.5975609756097561,0.5975609756097561,0.5853658536585366,0.5853658536585366,0.6707317073170732,0.7317073170731707,0.6829268292682927,0.6585365853658537,0.5975609756097561,0.5975609756097561,0.6097560975609756,0.5609756097560976,0.524390243902439,0.4146341463414634,0.3902439024390244,0.2926829268292683,0.3902439024390244,0.4268292682926829,0.5487804878048781,0.6341463414634146,0.6341463414634146,0.6707317073170732,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.6219512195121951,0.6219512195121951,0.6585365853658537,0.7439024390243902,0.7439024390243902,0.6829268292682927,0.6341463414634146,0.5975609756097561,0.6219512195121951,0.524390243902439,0.5,0.47560975609756095,0.43902439024390244,0.4268292682926829,0.5,0.5365853658536586,0.5853658536585366,0.5365853658536586,0.5,0.4878048780487805,0.524390243902439
Jabari Smith Jr.,79,2451,1.0,1.0,1.0,1.0,1.0,1.0,0.8987341772151899,0.7215189873417721,0.4936708860759494,0.26582278481012656,0.16455696202531644,0.189873417721519,0.25316455696202533,0.26582278481012656,0.3291139240506329,0.45569620253164556,0.5063291139240507,0.6835443037974683,0.7848101265822784,0.7848101265822784,0.7848101265822784,0.7974683544303798,0.7848101265822784,0.7721518987341772,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9746835443037974,0.9620253164556962,0.7848101265822784,0.569620253164557,0.3037974683544304,0.20253164556962025,0.22784810126582278,0.16455696202531644,0.27848101265822783,0.31645569620253167,0.35443037974683544,0.46835443037974683,0.4936708860759494,0.5822784810126582,0.6708860759493671,0.6962025316455697,0.6835443037974683,0.6582278481012658,0.5822784810126582,0.569620253164557
Alperen Şengün,75,2171,0.96,0.96,0.96,0.96,0.96,0.92,0.8666666666666667,0.72,0.5866666666666667,0.36,0.14666666666666667,0.06666666666666667,0.28,0.3333333333333333,0.36,0.44,0.5333333333333333,0.5866666666666667,0.64,0.6933333333333334,0.7333333333333333,0.7733333333333333,0.8,0.7866666666666666,0.96,0.96,0.96,0.9466666666666667,0.92,0.8533333333333334,0.7866666666666666,0.6133333333333333,0.4533333333333333,0.30666666666666664,0.22666666666666666,0.14666666666666667,0.18666666666666668,0.18666666666666668,0.2,0.32,0.41333333333333333,0.52,0.6133333333333333,0.5333333333333333,0.5066666666666667,0.48,0.4266666666666667,0.32
Tari Eason,82,1767,0.06097560975609756,0.06097560975609756,0.06097560975609756,0.06097560975609756,0.06097560975609756,0.04878048780487805,0.13414634146341464,0.36585365853658536,0.5975609756097561,0.8536585365853658,0.9024390243902439,0.9390243902439024,0.8414634146341463,0.8048780487804879,0.6951219512195121,0.6341463414634146,0.573170731707317,0.4634146341463415,0.4024390243902439,0.4024390243902439,0.3170731707317073,0.2073170731707317,0.1951219512195122,0.18292682926829268,0.06097560975609756,0.10975609756097561,0.10975609756097561,0.0975609756097561,0.10975609756097561,0.12195121951219512,0.23170731707317074,0.4634146341463415,0.7926829268292683,0.9146341463414634,0.9146341463414634,0.9146341463414634,0.8170731707317073,0.7804878048780488,0.7317073170731707,0.7073170731707317,0.6219512195121951,0.5121951219512195,0.3902439024390244,0.3048780487804878,0.2804878048780488,0.2682926829268293,0.35365853658536583,0.4146341463414634
Eric Gordon,47,1418,1.0,1.0,1.0,1.0,1.0,0.9361702127659575,0.6170212765957447,0.1276595744680851,0.0,0.0425531914893617,0.425531914893617,0.6382978723404256,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9148936170212766,0.6595744680851063,0.3404255319148936,0.10638297872340426,0.1276595744680851,0.10638297872340426,0.2978723404255319,0.8936170212765957,0.8936170212765957,1.0,1.0,1.0,1.0,1.0,0.9148936170212766,0.5531914893617021,0.2127659574468085,0.06382978723404255,0.14893617021276595,0.23404255319148937,0.3404255319148936,0.851063829787234,0.851063829787234,0.8723404255319149,0.8723404255319149,0.6808510638297872,0.425531914893617,0.23404255319148937,0.10638297872340426,0.2765957446808511,0.5531914893617021,0.6170212765957447,0.6170212765957447
Usman Garuba,75,970,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.05333333333333334,0.09333333333333334,0.2,0.3333333333333333,0.5066666666666667,0.7066666666666667,0.8133333333333334,0.56,0.5333333333333333,0.48,0.4,0.25333333333333335,0.14666666666666667,0.13333333333333333,0.14666666666666667,0.13333333333333333,0.12,0.10666666666666667,0.13333333333333333,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.04,0.08,0.16,0.3333333333333333,0.4666666666666667,0.56,0.6533333333333333,0.72,0.5866666666666667,0.5466666666666666,0.49333333333333335,0.28,0.18666666666666668,0.16,0.10666666666666667,0.17333333333333334,0.18666666666666668,0.2,0.26666666666666666,0.28
Daishen Nix,57,914,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.10526315789473684,0.19298245614035087,0.21052631578947367,0.2631578947368421,0.43859649122807015,0.543859649122807,0.5789473684210527,0.6666666666666666,0.6666666666666666,0.631578947368421,0.543859649122807,0.5087719298245614,0.3684210526315789,0.22807017543859648,0.17543859649122806,0.14035087719298245,0.12280701754385964,0.15789473684210525,0.19298245614035087,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.22807017543859648,0.2982456140350877,0.3157894736842105,0.40350877192982454,0.42105263157894735,0.5087719298245614,0.5789473684210527,0.5964912280701754,0.5263157894736842,0.49122807017543857,0.38596491228070173,0.2982456140350877,0.2631578947368421,0.2807017543859649,0.3508771929824561,0.38596491228070173,0.45614035087719296,0.5087719298245614
Josh Christopher,64,786,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.046875,0.078125,0.140625,0.140625,0.265625,0.359375,0.4375,0.453125,0.546875,0.609375,0.578125,0.546875,0.375,0.296875,0.234375,0.125,0.078125,0.078125,0.03125,0.03125,0.03125,0.03125,0.03125,0.015625,0.03125,0.078125,0.09375,0.171875,0.25,0.34375,0.515625,0.5,0.515625,0.53125,0.5,0.4375,0.34375,0.3125,0.296875,0.34375,0.421875,0.453125
