Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Markelle Fultz,60,1778,1.0,1.0,1.0,1.0,0.9833333333333333,0.9833333333333333,0.9666666666666667,0.9166666666666666,0.7833333333333333,0.38333333333333336,0.13333333333333333,0.05,0.0,0.0,0.0,0.05,0.1,0.38333333333333336,0.5833333333333334,0.8666666666666667,0.9,0.8833333333333333,0.8666666666666667,0.85,1.0,1.0,1.0,1.0,0.9666666666666667,0.9166666666666666,0.8833333333333333,0.85,0.7166666666666667,0.5166666666666667,0.26666666666666666,0.15,0.03333333333333333,0.05,0.03333333333333333,0.08333333333333333,0.2,0.5,0.6,0.6666666666666666,0.7666666666666667,0.7833333333333333,0.7333333333333333,0.6833333333333333
Gary Harris,48,1184,0.875,0.875,0.875,0.875,0.875,0.8958333333333334,0.8958333333333334,0.6666666666666666,0.3125,0.16666666666666666,0.16666666666666666,0.125,0.125,0.125,0.125,0.08333333333333333,0.16666666666666666,0.3958333333333333,0.5208333333333334,0.7291666666666666,0.8125,0.7916666666666666,0.8125,0.7708333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8541666666666666,0.8541666666666666,0.8333333333333334,0.875,0.7083333333333334,0.3958333333333333,0.25,0.14583333333333334,0.16666666666666666,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.1875,0.25,0.3333333333333333,0.3958333333333333,0.5208333333333334,0.5416666666666666,0.4791666666666667,0.4791666666666667
Franz Wagner,80,2609,1.0,1.0,1.0,1.0,1.0,0.525,0.3125,0.1625,0.1375,0.4125,0.6375,0.725,0.825,0.825,0.825,0.8375,0.8125,0.65,0.5,0.425,0.475,0.45,0.55,0.5875,0.9875,0.9875,0.9875,0.975,0.95,0.75,0.4875,0.25,0.2125,0.2625,0.45,0.5375,0.7125,0.725,0.7125,0.7625,0.6625,0.6375,0.675,0.6875,0.7375,0.7625,0.6875,0.6375
Paolo Banchero,72,2430,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.8888888888888888,0.875,0.8333333333333334,0.6944444444444444,0.4166666666666667,0.2638888888888889,0.125,0.125,0.125,0.1388888888888889,0.2361111111111111,0.5694444444444444,0.7361111111111112,0.8333333333333334,0.9166666666666666,0.9583333333333334,0.9305555555555556,0.9166666666666666,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9583333333333334,0.9027777777777778,0.8611111111111112,0.8333333333333334,0.7361111111111112,0.4444444444444444,0.3611111111111111,0.1388888888888889,0.1388888888888889,0.1527777777777778,0.2361111111111111,0.3611111111111111,0.5416666666666666,0.7222222222222222,0.7916666666666666,0.8472222222222222,0.8333333333333334,0.7777777777777778,0.75
Wendell Carter Jr.,57,1690,0.9473684210526315,0.9473684210526315,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596491228070176,0.8070175438596491,0.7719298245614035,0.631578947368421,0.2631578947368421,0.17543859649122806,0.15789473684210525,0.15789473684210525,0.14035087719298245,0.10526315789473684,0.15789473684210525,0.3157894736842105,0.5614035087719298,0.7368421052631579,0.8245614035087719,0.7894736842105263,0.7543859649122807,0.7543859649122807,0.7368421052631579,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9298245614035088,0.8947368421052632,0.8947368421052632,0.7719298245614035,0.631578947368421,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.12280701754385964,0.14035087719298245,0.15789473684210525,0.24561403508771928,0.3333333333333333,0.5614035087719298,0.631578947368421,0.7543859649122807,0.8245614035087719,0.8245614035087719,0.7543859649122807,0.7192982456140351
Cole Anthony,60,1552,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.08333333333333333,0.25,0.36666666666666664,0.5666666666666667,0.75,0.8666666666666667,0.9,0.9,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9,0.7833333333333333,0.65,0.5333333333333333,0.35,0.31666666666666665,0.35,0.31666666666666665,0.31666666666666665,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.45,0.6333333333333333,0.8,0.8166666666666667,0.95,0.9333333333333333,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.8833333333333333,0.8333333333333334,0.7166666666666667,0.5833333333333334,0.48333333333333334,0.4,0.36666666666666664,0.4,0.43333333333333335
Bol Bol,70,1505,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.5,0.38571428571428573,0.24285714285714285,0.22857142857142856,0.3142857142857143,0.4,0.5142857142857142,0.5285714285714286,0.5571428571428572,0.5571428571428572,0.4857142857142857,0.44285714285714284,0.5142857142857142,0.5571428571428572,0.5142857142857142,0.5142857142857142,0.4857142857142857,0.4857142857142857,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4142857142857143,0.4,0.38571428571428573,0.2857142857142857,0.2571428571428571,0.21428571428571427,0.3,0.37142857142857144,0.5714285714285714,0.5714285714285714,0.5857142857142857,0.5714285714285714,0.5,0.4857142857142857,0.44285714285714284,0.35714285714285715,0.34285714285714286,0.34285714285714286,0.35714285714285715,0.37142857142857144
Jalen Suggs,53,1246,0.3584905660377358,0.3584905660377358,0.3584905660377358,0.3584905660377358,0.3584905660377358,0.39622641509433965,0.41509433962264153,0.5094339622641509,0.660377358490566,0.5660377358490566,0.6226415094339622,0.5849056603773585,0.5660377358490566,0.5660377358490566,0.5849056603773585,0.660377358490566,0.5660377358490566,0.49056603773584906,0.4528301886792453,0.2830188679245283,0.33962264150943394,0.49056603773584906,0.49056603773584906,0.5094339622641509,0.39622641509433965,0.39622641509433965,0.39622641509433965,0.3584905660377358,0.32075471698113206,0.32075471698113206,0.32075471698113206,0.41509433962264153,0.5283018867924528,0.660377358490566,0.6415094339622641,0.6415094339622641,0.660377358490566,0.660377358490566,0.6415094339622641,0.5849056603773585,0.5660377358490566,0.4716981132075472,0.4339622641509434,0.4716981132075472,0.37735849056603776,0.3584905660377358,0.37735849056603776,0.3584905660377358
Moritz Wagner,57,1109,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24561403508771928,0.2807017543859649,0.49122807017543857,0.631578947368421,0.6666666666666666,0.7017543859649122,0.7017543859649122,0.7368421052631579,0.7192982456140351,0.5263157894736842,0.38596491228070173,0.24561403508771928,0.21052631578947367,0.21052631578947367,0.2807017543859649,0.2631578947368421,0.2982456140350877,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.2631578947368421,0.2982456140350877,0.3333333333333333,0.43859649122807015,0.5263157894736842,0.543859649122807,0.5964912280701754,0.5789473684210527,0.5614035087719298,0.49122807017543857,0.42105263157894735,0.38596491228070173,0.3333333333333333,0.2982456140350877,0.2807017543859649,0.2982456140350877,0.3157894736842105,0.3157894736842105
Terrence Ross,42,944,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.19047619047619047,0.2857142857142857,0.5476190476190477,0.5952380952380952,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8095238095238095,0.8333333333333334,0.6190476190476191,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.16666666666666666,0.16666666666666666,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.21428571428571427,0.21428571428571427,0.23809523809523808,0.35714285714285715,0.5,0.6190476190476191,0.7380952380952381,0.7857142857142857,0.7380952380952381,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.5476190476190477,0.5,0.4523809523809524,0.30952380952380953,0.2619047619047619,0.21428571428571427,0.19047619047619047
